date_received,complaints
2011-12-01,120
2011-12-02,138
2011-12-03,26
2011-12-04,22
2011-12-05,164
2011-12-06,170
2011-12-07,100
2011-12-08,166
2011-12-09,68
2011-12-10,36
2011-12-11,59
2011-12-12,163
2011-12-13,134
2011-12-14,92
2011-12-15,64
2011-12-16,101
2011-12-17,28
2011-12-18,16
2011-12-19,91
2011-12-20,120
2011-12-21,111
2011-12-22,90
2011-12-23,60
2011-12-24,11
2011-12-25,10
2011-12-26,21
2011-12-27,80
2011-12-28,85
2011-12-29,84
2011-12-30,81
2011-12-31,25
2012-01-01,14
2012-01-02,27
2012-01-03,97
2012-01-04,106
2012-01-05,172
2012-01-06,205
2012-01-07,74
2012-01-08,48
2012-01-09,141
2012-01-10,142
2012-01-11,151
2012-01-12,106
2012-01-13,136
2012-01-14,42
2012-01-15,25
2012-01-16,54
2012-01-17,143
2012-01-18,148
2012-01-19,107
2012-01-20,92
2012-01-21,39
2012-01-22,46
2012-01-23,96
2012-01-24,155
2012-01-25,194
2012-01-26,193
2012-01-27,128
2012-01-28,34
2012-01-29,26
2012-01-30,136
2012-01-31,153
2012-02-01,157
2012-02-02,166
2012-02-03,146
2012-02-04,36
2012-02-05,33
2012-02-06,120
2012-02-07,174
2012-02-08,169
2012-02-09,178
2012-02-10,146
2012-02-11,40
2012-02-12,31
2012-02-13,149
2012-02-14,137
2012-02-15,154
2012-02-16,167
2012-02-17,208
2012-02-18,42
2012-02-19,22
2012-02-20,55
2012-02-21,143
2012-02-22,176
2012-02-23,176
2012-02-24,142
2012-02-25,41
2012-02-26,35
2012-02-27,130
2012-02-28,180
2012-02-29,156
2012-03-01,227
2012-03-02,197
2012-03-03,46
2012-03-04,58
2012-03-05,395
2012-03-06,351
2012-03-07,379
2012-03-08,251
2012-03-09,222
2012-03-10,106
2012-03-11,138
2012-03-12,272
2012-03-13,236
2012-03-14,291
2012-03-15,281
2012-03-16,146
2012-03-17,39
2012-03-18,23
2012-03-19,192
2012-03-20,214
2012-03-21,242
2012-03-22,280
2012-03-23,165
2012-03-24,46
2012-03-25,102
2012-03-26,345
2012-03-27,301
2012-03-28,244
2012-03-29,245
2012-03-30,161
2012-03-31,35
2012-04-01,43
2012-04-02,296
2012-04-03,236
2012-04-04,241
2012-04-05,249
2012-04-06,151
2012-04-07,30
2012-04-08,27
2012-04-09,309
2012-04-10,279
2012-04-11,342
2012-04-12,303
2012-04-13,205
2012-04-14,47
2012-04-15,25
2012-04-16,311
2012-04-17,242
2012-04-18,233
2012-04-19,310
2012-04-20,190
2012-04-21,47
2012-04-22,39
2012-04-23,213
2012-04-24,237
2012-04-25,299
2012-04-26,223
2012-04-27,243
2012-04-28,35
2012-04-29,59
2012-04-30,239
2012-05-01,223
2012-05-02,284
2012-05-03,310
2012-05-04,149
2012-05-05,108
2012-05-06,29
2012-05-07,241
2012-05-08,275
2012-05-09,246
2012-05-10,254
2012-05-11,218
2012-05-12,26
2012-05-13,18
2012-05-14,282
2012-05-15,629
2012-05-16,288
2012-05-17,582
2012-05-18,434
2012-05-19,306
2012-05-20,317
2012-05-21,456
2012-05-22,202
2012-05-23,175
2012-05-24,226
2012-05-25,135
2012-05-26,35
2012-05-27,19
2012-05-28,25
2012-05-29,262
2012-05-30,349
2012-05-31,514
2012-06-01,417
2012-06-02,173
2012-06-03,28
2012-06-04,556
2012-06-05,493
2012-06-06,447
2012-06-07,341
2012-06-08,342
2012-06-09,51
2012-06-10,31
2012-06-11,293
2012-06-12,216
2012-06-13,394
2012-06-14,296
2012-06-15,506
2012-06-16,35
2012-06-17,43
2012-06-18,286
2012-06-19,514
2012-06-20,363
2012-06-21,356
2012-06-22,233
2012-06-23,66
2012-06-24,41
2012-06-25,238
2012-06-26,303
2012-06-27,271
2012-06-28,249
2012-06-29,212
2012-06-30,47
2012-07-01,30
2012-07-02,214
2012-07-03,266
2012-07-04,34
2012-07-05,291
2012-07-06,257
2012-07-07,49
2012-07-08,48
2012-07-09,342
2012-07-10,339
2012-07-11,309
2012-07-12,285
2012-07-13,239
2012-07-14,41
2012-07-15,34
2012-07-16,283
2012-07-17,395
2012-07-18,367
