Date,Description,Category,Cost,Currency,bebean92,Ngọc Khương,ngocquy.vn93

2020-07-17,17 Jul com ga grab trua t6,General,15.60,SGD,-7.80,7.80,0.00
2020-08-17,Internet t8,TV/Phone/Internet,40.91,SGD,-13.64,27.27,-13.63
2020-08-18,Cơm gà,General,15.60,SGD,7.80,-7.80,0.00
2020-08-18,Bún + bánh tráng,General,9.00,SGD,6.00,-3.00,-3.00
2020-08-18,Thịt,General,8.70,SGD,4.35,-2.17,-2.18
2020-08-20,Di cho,General,2.90,SGD,-0.96,-0.97,1.93
2020-08-20,Liho,General,2.40,SGD,-2.40,2.40,0.00
2020-08-20,Ăn trưa,General,22.00,SGD,-11.00,11.00,0.00
2020-08-21,3 bowls,General,10.80,SGD,10.80,-10.80,0.00
2020-08-21,Sieu thi,General,49.50,SGD,33.00,-16.50,-16.50
2020-08-23,Ca phe coffee bean nuh 23 Aug,Dining out,5.00,SGD,0.00,5.00,-5.00
2020-08-24,Cơm gà,General,15.60,SGD,7.80,-7.80,0.00
2020-08-24,Mua rau,General,3.00,SGD,1.50,-1.50,0.00
2020-08-25,Liho 25 aug,General,12.00,SGD,-6.00,12.00,-6.00
2020-08-26,An toi,General,6.30,SGD,-3.15,0.00,3.15
2020-08-27,Ăn sáng,General,3.40,SGD,3.40,-3.40,0.00
2020-08-29,Nc cam,General,4.00,SGD,-2.00,0.00,2.00
2020-08-29,Ăn tối,General,11.90,SGD,5.95,0.00,-5.95
2020-09-01,Ăn trưa,General,3.50,SGD,3.50,-3.50,0.00
2020-09-01,Bún bò,General,17.00,SGD,17.00,-8.50,-8.50
2020-09-02,Canh bi,General,6.65,SGD,-3.33,0.00,3.33
2020-09-05,Tui ck ,General,62.90,SGD,-62.90,62.90,0.00
2020-09-05,Bìa,General,9.45,SGD,6.30,-3.15,-3.15
2020-09-05,Ăn trưa,General,13.50,SGD,6.75,-6.75,0.00
2020-09-05,Singpost,General,24.90,SGD,24.90,-24.90,0.00
2020-09-05,Nc,General,6.80,SGD,3.40,-3.40,0.00
2020-09-06,Ăn tối,General,4.40,SGD,2.20,-2.20,0.00
2020-09-07,Mr bean,General,4.20,SGD,2.10,-2.10,0.00
2020-09-08,Ăn trưa,General,15.40,SGD,7.70,-7.70,0.00
2020-09-08,Ăn tối,General,15.40,SGD,10.27,-5.13,-5.14
2020-09-09,Boba,General,5.90,SGD,5.90,-5.90,0.00
2020-09-10,Ăn ké,General,10.00,SGD,-10.00,10.00,0.00
2020-09-10,Snack,Groceries,5.60,SGD,-2.80,2.80,0.00
2020-09-11,Ăn trưa,General,5.00,SGD,2.50,-2.50,0.00
2020-09-13,Settle all balances,General,12.66,SGD,0.00,-12.66,12.66
2020-09-14,Nuoc uong,General,18.94,SGD,-9.47,9.47,0.00
2020-09-14,Siam,General,15.15,SGD,10.10,-5.05,-5.05
2020-09-14,Siam lunch,Dining out,15.15,SGD,7.58,-7.58,0.00
2020-09-15,Daiso,General,14.00,SGD,0.00,-14.00,14.00
2020-09-15,Daiso,General,9.00,SGD,-9.00,0.00,9.00
2020-09-16,Con ca,General,43.60,SGD,-14.54,-14.53,29.07
2020-09-16,Bf set,General,13.60,SGD,-4.53,-4.53,9.06
2020-09-16,Com ga 16 sep thu 4,General,15.60,SGD,-7.80,7.80,0.00
2020-09-16,Phở vn,General,28.75,SGD,19.17,-9.58,-9.59
2020-09-16,Gỏi xoài,General,5.50,SGD,2.75,-2.75,0.00
2020-09-17,Stuff,General,18.00,SGD,-6.00,12.00,-6.00
2020-09-18,Kirei,General,5.00,SGD,-1.67,3.33,-1.66
2020-09-22,Mala,General,13.00,SGD,-4.33,-4.34,8.67
2020-09-22,Nc,General,16.00,SGD,8.00,-8.00,0.00
2020-09-22,Koi,General,8.00,SGD,-4.00,4.00,0.00
2020-09-23,Oven,General,42.00,SGD,28.00,-14.00,-14.00
2020-09-23,Cash,General,5.00,SGD,5.00,-5.00,0.00
2020-09-27,Sinh nhat Khoa+grab,General,69.00,SGD,0.00,34.50,-34.50
2020-09-28,Sau rienf,General,20.00,SGD,-6.66,13.33,-6.67
2020-09-28,Cahs atm,General,50.00,SGD,0.00,50.00,-50.00
2020-09-29,Húp lẩu ,General,9.90,SGD,-3.30,-3.30,6.60
2020-09-30,Cash,General,5.00,SGD,-5.00,5.00,0.00
2020-10-03,Pasir panjang tom,General,16.50,SGD,0.00,8.25,-8.25
2020-10-03,Pasir panjang cnah ga,General,12.60,SGD,-4.20,8.40,-4.20
2020-10-05,Cuon,General,6.80,SGD,-3.40,0.00,3.40
2020-10-06,Com chi Q dam dang,General,13.30,SGD,-4.43,-4.43,8.86
2020-10-06,Com ga 6 oct trua t3,General,15.60,SGD,-7.80,7.80,0.00
2020-10-06,Nuoc giat 6/10,General,16.35,SGD,-5.45,10.90,-5.45
2020-10-08,Cơm trưa,General,5.50,SGD,5.50,-5.50,0.00
2020-10-08,Ăn ké,General,4.00,SGD,-2.00,4.00,-2.00
2020-10-08,Bbt,General,18.30,SGD,-6.10,12.20,-6.10
2020-10-09,Salmon,General,29.20,SGD,29.20,-29.20,0.00
2020-10-11,Watsons,General,16.66,SGD,16.66,0.00,-16.66
2020-10-11,Watsons,General,18.60,SGD,9.30,-9.30,0.00
2020-10-11,Che kopitiam,General,2.50,SGD,-0.83,-0.83,1.66
2020-10-12,Milk 12/oct,Groceries,5.75,SGD,-2.87,2.87,0.00
2020-10-12,Hao wei lai,General,7.00,SGD,-7.00,7.00,0.00
2020-10-13,Canh bi,General,3.70,SGD,-1.85,0.00,1.85
2020-10-14,Aircon,General,50.00,SGD,33.33,-16.66,-16.67
2020-10-15,Ăn ké N,General,9.00,SGD,-4.50,4.50,0.00
2020-10-17,Ăn trưa,General,5.00,SGD,2.50,-2.50,0.00
2020-10-18,Ăn tối,General,4.25,SGD,2.13,0.00,-2.13
2020-10-18,Tien nha thang 11,General,525.00,SGD,0.00,525.00,-525.00
2020-10-18,Settle all balances,General,598.42,SGD,0.00,-598.42,598.42
2020-10-18,Heo quay,General,10.00,SGD,-3.34,6.67,-3.33
2020-10-18,Chu dai,General,580.00,SGD,0.00,-580.00,580.00
2020-10-18,Ezbuy,General,20.00,SGD,-20.00,0.00,20.00
2020-10-18,Ezbuy,General,155.00,SGD,0.00,-155.00,155.00
2020-10-19,Di cho pl,General,10.80,SGD,-3.60,7.20,-3.60
2020-10-19,Fairprice,General,18.05,SGD,12.04,-6.02,-6.02
2020-10-19,FP rau,General,9.50,SGD,4.75,-4.75,0.00
2020-10-22,Ăn ké,General,7.00,SGD,-7.00,7.00,0.00
2020-10-22,Di cho 21 oct + mala,General,10.10,SGD,-5.05,0.00,5.05
2020-10-24,Siam,General,13.40,SGD,6.70,0.00,-6.70
2020-10-25,Lẩu,General,55.90,SGD,-18.64,37.27,-18.63
2020-10-26,Com ga,General,11.60,SGD,-5.80,0.00,5.80
2020-10-26,Dau phu,General,3.30,SGD,-1.65,0.00,1.65
2020-10-27,Soya,General,1.20,SGD,0.60,0.00,-0.60
2020-10-27,Saba,General,10.80,SGD,5.40,-5.40,0.00
2020-10-28,Shopee cash,General,100.00,SGD,0.00,100.00,-100.00
2020-10-29,Ăn tối,General,9.00,SGD,6.00,-3.00,-3.00
2020-10-31,Ăn trưa,General,9.60,SGD,4.80,0.00,-4.80
2020-10-31,An bun dau,General,3.60,SGD,-1.20,2.40,-1.20
2020-11-02,Kopitiam Ha noi,General,34.20,SGD,-11.40,-11.40,22.80
2020-11-03,FP trứng cá đậu,General,23.85,SGD,15.90,-7.95,-7.95
2020-11-05,Mookata,General,12.00,SGD,0.00,12.00,-12.00
2020-11-07,Chao thit ga,General,10.00,SGD,-5.00,0.00,5.00
2020-11-09,Shopee topup,General,50.00,SGD,0.00,50.00,-50.00
2020-11-09,4 ngón,General,24.12,SGD,16.08,-8.04,-8.04
2020-11-09,Bu. Bo,General,7.50,SGD,-7.50,0.00,7.50
2020-11-11,Siam,General,25.80,SGD,12.90,-12.90,0.00
2020-11-11,Bí,General,5.45,SGD,5.45,0.00,-5.45
2020-11-14,Shopee,General,50.00,SGD,0.00,50.00,-50.00
2020-11-15,Đi chợ + dưa,General,13.60,SGD,6.80,0.00,-6.80
2020-11-16,Khoai,General,5.80,SGD,-5.80,0.00,5.80
2020-11-16,Ông bà già,General,13.80,SGD,-4.60,-4.60,9.20
2020-11-18,Kopitiam,General,5.40,SGD,-5.40,0.00,5.40
2020-11-20,Cơm gà,General,15.60,SGD,7.80,-7.80,0.00
2020-11-21,Mi thit bam,General,6.00,SGD,-3.00,0.00,3.00
2020-11-21,Tien nha thg 12,General,525.00,SGD,0.00,525.00,-525.00
2020-11-21,Yuzu lemon clueddup 21 nov,Groceries,5.60,SGD,-5.60,5.60,0.00
2020-11-22,Gong cha,General,4.80,SGD,0.00,-4.80,4.80
2020-11-22,Gong cha,General,4.50,SGD,-4.50,0.00,4.50
2020-11-22,Vay qo dam cui,General,45.00,SGD,-15.00,30.00,-15.00
2020-11-22,An bugis,General,30.00,SGD,-10.00,20.00,-10.00
2020-11-22,Sephora,General,62.00,SGD,-62.00,62.00,0.00
2020-11-22,Bông tai,General,22.75,SGD,-22.75,22.75,0.00
2020-11-22,Bông tai,General,19.85,SGD,0.00,19.85,-19.85
2020-11-23,Gỏi cuốn,General,7.10,SGD,3.55,0.00,-3.55
2020-11-23,Butter,Groceries,4.90,SGD,4.90,-4.90,0.00
2020-11-23,Thịt hộp,General,2.85,SGD,2.85,0.00,-2.85
2020-11-23,Rau muống + dầu ăn,General,5.80,SGD,3.86,-1.93,-1.93
2020-11-24,Hup lau mookara,General,30.00,SGD,0.00,30.00,-30.00
2020-11-24,Sn sara+cab+banh,Taxi,53.00,SGD,-26.50,0.00,26.50
2020-11-25,Com ga 25 nov t4,General,15.60,SGD,-7.80,7.80,0.00
2020-11-25,Mam tom,General,3.00,SGD,-1.00,-1.00,2.00
2020-11-26,Ăn ké N,General,1.40,SGD,-0.70,1.40,-0.70
2020-11-27,Chổi,General,15.20,SGD,-5.06,10.13,-5.07
2020-11-27,Chendol,General,1.50,SGD,0.75,-0.75,0.00
2020-11-27,Shoppee,General,50.00,SGD,0.00,50.00,-50.00
2020-11-27,Sup ca,General,6.50,SGD,0.00,6.50,-6.50
2020-11-28,Bkt,General,35.19,SGD,23.46,-11.73,-11.73
2020-11-28,Lắc,General,258.00,SGD,-86.00,172.00,-86.00
2020-11-30,Di cho,General,7.50,SGD,-3.75,0.00,3.75
2020-11-30,Sephora,General,71.00,SGD,71.00,-35.50,-35.50
2020-11-30,Tissue,Household supplies,17.90,SGD,11.94,-5.97,-5.97
2020-12-01,Nc cam,General,4.00,SGD,2.00,-2.00,0.00
