date,incident
2018-05-15,10
2018-05-14,79
2018-05-13,154
2018-05-12,196
2018-05-11,216
2018-05-10,260
2018-05-09,275
2018-05-08,292
2018-05-07,275
2018-05-06,289
2018-05-05,332
2018-05-04,336
2018-05-03,317
2018-05-02,338
2018-05-01,275
2018-04-30,300
2018-04-29,295
2018-04-28,371
2018-04-27,364
2018-04-26,336
2018-04-25,390
2018-04-24,340
2018-04-23,299
2018-04-22,302
2018-04-21,320
2018-04-20,379
2018-04-19,367
2018-04-18,385
2018-04-17,321
2018-04-16,323
2018-04-15,301
2018-04-14,361
2018-04-13,445
2018-04-12,343
2018-04-11,391
2018-04-10,346
2018-04-09,344
2018-04-08,299
2018-04-07,356
2018-04-06,366
2018-04-05,348
2018-04-04,350
2018-04-03,305
2018-04-02,332
2018-04-01,327
2018-03-31,404
2018-03-30,380
2018-03-29,325
2018-03-28,349
2018-03-27,380
2018-03-26,302
2018-03-25,349
2018-03-24,331
2018-03-23,404
2018-03-22,352
2018-03-21,317
2018-03-20,332
2018-03-19,349
2018-03-18,333
2018-03-17,366
2018-03-16,400
2018-03-15,331
2018-03-14,345
2018-03-13,365
2018-03-12,343
2018-03-11,293
2018-03-10,360
2018-03-09,346
2018-03-08,315
2018-03-07,322
2018-03-06,281
2018-03-05,317
2018-03-04,356
2018-03-03,364
2018-03-02,345
2018-03-01,384
2018-02-28,353
2018-02-27,300
2018-02-26,332
2018-02-25,369
2018-02-24,398
2018-02-23,347
2018-02-22,387
2018-02-21,353
2018-02-20,355
2018-02-19,316
2018-02-18,335
2018-02-17,381
2018-02-16,354
2018-02-15,357
2018-02-14,377
2018-02-13,322
2018-02-12,354
2018-02-11,323
2018-02-10,431
2018-02-09,397
2018-02-08,349
2018-02-07,359
2018-02-06,342
2018-02-05,325
2018-02-04,301
2018-02-03,373
2018-02-02,385
2018-02-01,372
2018-01-31,364
2018-01-30,383
2018-01-29,373
2018-01-28,352
2018-01-27,406
2018-01-26,399
2018-01-25,389
2018-01-24,366
2018-01-23,409
2018-01-22,385
2018-01-21,343
2018-01-20,355
2018-01-19,420
2018-01-18,410
2018-01-17,360
2018-01-16,351
2018-01-15,385
2018-01-14,380
2018-01-13,411
2018-01-12,422
2018-01-11,365
2018-01-10,399
2018-01-09,375
2018-01-08,346
2018-01-07,406
2018-01-06,418
2018-01-05,439
2018-01-04,418
2018-01-03,385
2018-01-02,364
2018-01-01,453
2017-12-31,424
2017-12-30,424
2017-12-29,408
2017-12-28,422
2017-12-27,384
2017-12-26,320
2017-12-25,273
2017-12-24,320
2017-12-23,438
2017-12-22,411
2017-12-21,439
2017-12-20,432
2017-12-19,367
2017-12-18,424
2017-12-17,399
2017-12-16,430
2017-12-15,471
2017-12-14,448
2017-12-13,411
2017-12-12,388
2017-12-11,411
2017-12-10,434
2017-12-09,387
2017-12-08,420
2017-12-07,459
2017-12-06,404
2017-12-05,400
2017-12-04,388
2017-12-03,353
2017-12-02,387
2017-12-01,468
2017-11-30,384
2017-11-29,411
2017-11-28,443
2017-11-27,463
2017-11-26,369
2017-11-25,399
2017-11-24,426
2017-11-23,288
2017-11-22,460
2017-11-21,408
2017-11-20,433
2017-11-19,408
2017-11-18,393
2017-11-17,424
2017-11-16,356
2017-11-15,419
2017-11-14,449
2017-11-13,345
2017-11-12,327
2017-11-11,432
2017-11-10,490
2017-11-09,462
2017-11-08,449
2017-11-07,435
2017-11-06,394
2017-11-05,399
2017-11-04,389
2017-11-03,499
2017-11-02,373
2017-11-01,420
2017-10-31,399
2017-10-30,430
2017-10-29,393
2017-10-28,412
2017-10-27,492
2017-10-26,488
2017-10-25,443
2017-10-24,368
2017-10-23,420
2017-10-22,432
2017-10-21,430
2017-10-20,450
2017-10-19,382
2017-10-18,432
2017-10-17,434
2017-10-16,458
2017-10-15,417
2017-10-14,484
2017-10-13,493
2017-10-12,413
2017-10-11,409
2017-10-10,427
2017-10-09,409
2017-10-08,457
2017-10-07,453
2017-10-06,445
2017-10-05,422
2017-10-04,423
2017-10-03,439
2017-10-02,374
2017-10-01,427
2017-09-30,425
2017-09-29,431
2017-09-28,427
2017-09-27,478
2017-09-26,464
2017-09-25,403
2017-09-24,358
2017-09-23,490
2017-09-22,506
2017-09-21,383
2017-09-20,398
2017-09-19,337
2017-09-18,433
2017-09-17,360
2017-09-16,482
2017-09-15,442
2017-09-14,442
2017-09-13,399
2017-09-12,414
2017-09-11,441
2017-09-10,431
2017-09-09,418
2017-09-08,441
2017-09-07,402
2017-09-06,410
2017-09-05,380
2017-09-04,386
2017-09-03,355
2017-09-02,400
2017-09-01,548
2017-08-31,438
2017-08-30,447
2017-08-29,388
2017-08-28,422
2017-08-27,378
2017-08-26,420
2017-08-25,460
2017-08-24,443
2017-08-23,383
2017-08-22,406
2017-08-21,426
2017-08-20,439
2017-08-19,423
2017-08-18,450
2017-08-17,422
2017-08-16,368
2017-08-15,445
2017-08-14,367
2017-08-13,383
2017-08-12,496
2017-08-11,465
2017-08-10,372
2017-08-09,410
2017-08-08,411
2017-08-07,395
2017-08-06,347
2017-08-05,430
2017-08-04,399
2017-08-03,393
2017-08-02,435
2017-08-01,411
2017-07-31,369
2017-07-30,391
2017-07-29,455
2017-07-28,468
2017-07-27,406
2017-07-26,397
2017-07-25,430
2017-07-24,381
2017-07-23,442
2017-07-22,441
2017-07-21,451
2017-07-20,448
2017-07-19,435
2017-07-18,436
2017-07-17,448
2017-07-16,405
2017-07-15,472
2017-07-14,436
2017-07-13,477
2017-07-12,400
2017-07-11,389
2017-07-10,407
2017-07-09,441
2017-07-08,466
2017-07-07,411
2017-07-06,418
2017-07-05,406
2017-07-04,380
2017-07-03,419
2017-07-02,406
2017-07-01,440
2017-06-30,422
2017-06-29,384
2017-06-28,361
2017-06-27,403
2017-06-26,426
2017-06-25,557
2017-06-24,490
2017-06-23,473
2017-06-22,415
2017-06-21,434
2017-06-20,444
2017-06-19,430
2017-06-18,383
2017-06-17,412
2017-06-16,447
2017-06-15,399
2017-06-14,403
2017-06-13,392
2017-06-12,397
2017-06-11,380
2017-06-10,401
2017-06-09,431
2017-06-08,396
2017-06-07,427
2017-06-06,366
2017-06-05,439
2017-06-04,398
2017-06-03,397
2017-06-02,428
2017-06-01,470
2017-05-31,392
2017-05-30,332
2017-05-29,372
2017-05-28,433
2017-05-27,475
2017-05-26,460
2017-05-25,462
2017-05-24,385
2017-05-23,482
2017-05-22,407
2017-05-21,436
2017-05-20,454
2017-05-19,430
2017-05-18,434
2017-05-17,408
2017-05-16,476
2017-05-15,485
2017-05-14,356
2017-05-13,422
2017-05-12,461
2017-05-11,426
2017-05-10,440
2017-05-09,391
2017-05-08,447
2017-05-07,433
2017-05-06,423
2017-05-05,430
2017-05-04,418
2017-05-03,415
2017-05-02,410
2017-05-01,472
2017-04-30,444
2017-04-29,451
2017-04-28,475
2017-04-27,452
2017-04-26,417
2017-04-25,432
2017-04-24,384
2017-04-23,407
2017-04-22,428
2017-04-21,438
2017-04-20,459
2017-04-19,393
2017-04-18,427
2017-04-17,429
2017-04-16,389
2017-04-15,467
2017-04-14,497
2017-04-13,420
2017-04-12,432
2017-04-11,444
2017-04-10,478
2017-04-09,335
2017-04-08,418
2017-04-07,440
2017-04-06,401
2017-04-05,441
2017-04-04,422
2017-04-03,458
2017-04-02,375
2017-04-01,488
2017-03-31,446
2017-03-30,499
2017-03-29,494
2017-03-28,411
2017-03-27,476
2017-03-26,456
2017-03-25,435
2017-03-24,457
2017-03-23,419
2017-03-22,479
2017-03-21,407
2017-03-20,381
2017-03-19,365
2017-03-18,436
2017-03-17,541
2017-03-16,424
2017-03-15,465
2017-03-14,437
2017-03-13,421
2017-03-12,406
2017-03-11,424
2017-03-10,462
2017-03-09,395
2017-03-08,441
2017-03-07,413
2017-03-06,441
2017-03-05,383
2017-03-04,433
2017-03-03,489
2017-03-02,436
2017-03-01,539
2017-02-28,431
2017-02-27,437
2017-02-26,408
2017-02-25,455
2017-02-24,393
2017-02-23,424
2017-02-22,424
2017-02-21,433
2017-02-20,398
2017-02-19,421
2017-02-18,487
2017-02-17,488
2017-02-16,423
2017-02-15,457
2017-02-14,415
2017-02-13,436
2017-02-12,369
2017-02-11,497
2017-02-10,494
2017-02-09,432
2017-02-08,429
2017-02-07,403
2017-02-06,381
2017-02-05,386
2017-02-04,487
2017-02-03,467
2017-02-02,445
2017-02-01,472
2017-01-31,432
2017-01-30,441
2017-01-29,424
2017-01-28,428
2017-01-27,443
2017-01-26,447
2017-01-25,414
2017-01-24,439
2017-01-23,457
2017-01-22,418
2017-01-21,473
2017-01-20,424
2017-01-19,425
2017-01-18,407
2017-01-17,409
2017-01-16,419
2017-01-15,419
2017-01-14,464
2017-01-13,451
2017-01-12,379
2017-01-11,383
2017-01-10,411
2017-01-09,376
2017-01-08,368
2017-01-07,409
2017-01-06,445
2017-01-05,420
2017-01-04,377
2017-01-03,411
2017-01-02,386
2017-01-01,485
2016-12-31,481
2016-12-30,422
2016-12-29,427
2016-12-28,397
2016-12-27,438
2016-12-26,365
2016-12-25,228
2016-12-24,372
2016-12-23,450
2016-12-22,477
2016-12-21,400
2016-12-20,460
2016-12-19,433
2016-12-18,366
2016-12-17,417
2016-12-16,482
2016-12-15,411
2016-12-14,507
2016-12-13,417
2016-12-12,446
2016-12-11,445
2016-12-10,432
2016-12-09,414
2016-12-08,374
2016-12-07,367
2016-12-06,434
2016-12-05,420
2016-12-04,408
2016-12-03,378
2016-12-02,455
2016-12-01,484
2016-11-30,373
2016-11-29,438
2016-11-28,393
2016-11-27,409
2016-11-26,452
2016-11-25,468
2016-11-24,324
2016-11-23,429
2016-11-22,427
2016-11-21,402
2016-11-20,418
2016-11-19,419
2016-11-18,491
2016-11-17,435
2016-11-16,446
2016-11-15,475
2016-11-14,395
2016-11-13,347
2016-11-12,476
2016-11-11,452
2016-11-10,442
2016-11-09,398
2016-11-08,421
2016-11-07,366
2016-11-06,410
2016-11-05,410
2016-11-04,473
2016-11-03,446
2016-11-02,420
2016-11-01,465
2016-10-31,460
2016-10-30,432
2016-10-29,426
2016-10-28,457
2016-10-27,447
2016-10-26,436
2016-10-25,430
2016-10-24,418
2016-10-23,372
2016-10-22,416
